Sagarin Rank,Team,Sagarin Rating
166,South Dakota St.,72.25
167,Louisiana Tech,72.25
168,Portland,72.23
169,Harvard,72.23
170,Cornell,72.2
171,Wyoming,72.15
172,St. Bonaventure,72.09
173,New Mexico St.,71.73
174,Oregon St.,71.6
175,Brown,71.55
176,Georgetown,71.55
177,N. Iowa,71.53
178,Lipscomb,71.52
179,Wright St.,71.46
180,Air Force,71.43
181,California Baptist,71.34
182,UTEP,71.22
183,Long Beach St.,71.21
184,Navy,71.2
185,Massachusetts,71.1
186,UC Davis,71.05
187,Montana,71.01
188,Drexel,70.98
189,Radford,70.98
190,George Washington,70.95
191,Longwood,70.94
192,Weber St.,70.82
193,Buffalo,70.74
194,Appalachian State,70.69
195,La Salle,70.68
196,Murray St.,70.65
197,TX St.,70.58
198,TX A&M-CorpusChristi,70.56
199,Norfolk St.,70.34
200,Ga. S.,70.3
201,Mercer,70.26
202,Cleveland St.,70.25
203,Wofford,70.18
204,Utah Tech,70.09
205,Tarleton St.,70.06
206,Pepperdine,69.96
207,Rice,69.94
208,Pacific,69.93
209,Rider,69.92
210,Loyola-Chicago,69.9
211,Detroit Mercy,69.88
212,North Dakota St.,69.72
213,Florida International,69.63
214,Abilene Christian,69.54
215,Bryant,69.54
216,Grambling St.,69.51
217,NC C.,69.5
218,Quinnipiac,69.43
219,St. Thomas-Mn.,69.26
220,Morehead St.,69.08
221,W. Car.,69.07
222,Louisville,68.96
223,Siena,68.94
224,Fla. Gulf Coast,68.92
225,Gardner-Webb,68.83
226,Campbell,68.81
227,Jacksonville St.,68.68
228,Howard,68.63
229,Rhode Island,68.63
230,N. Arizona,68.62
231,San Diego,68.53
232,Delaware,68.49
233,Stetson,68.48
234,Milwaukee,68.42
236,N. Colorado,68.22
237,Winthrop,68.09
238,Northwestern St.,67.91
239,Fort Wayne,67.91
240,N. Illinois,67.76
241,UMBC,67.76
242,Miami-Ohio,67.67
243,California,67.64
244,Robert Morris,67.55
245,USC Upstate,67.49
246,Boston University,67.35
247,Sacramento St.,67.35
248,North Fla.,67.33
249,Canisius,67.22
250,Army,67.19
251,Queens-NC,67.13
252,UT Arlington,67.05
253,Niagara,66.95
254,Valparaiso,66.93
255,Illinois St.,66.89
256,Dartmouth,66.86
257,SE Missouri St.,66.85
258,Jacksonville,66.75
259,W. Illinois,66.57
260,Fairfield,66.53
261,Bellarmine,66.52
262,Fairleigh Dickinson,66.52
263,Oakland-Mich.,66.44
264,Alcorn State,66.42
265,Arkansas State,66.36
266,Lehigh,66.33
267,Marist,66.1
268,Portland St.,66.01
269,New Hampshire,65.96
270,Lafayette,65.92
271,Illinois Chicago,65.88
