Team,NCAA Rank,Road,Neutral,Home,Quad1,Quad2,Quad3,Quad4
UCLA,107,5-6,1-4,9-7,1-10,6-2,3-4,5-1
Akron,108,7-6,4-3,11-1,0-3,2-3,6-2,14-2
UNI,109,6-8,2-3,10-3,0-6,5-3,6-4,7-1
High Point,110,7-5,2-1,14-2,0-0,0-1,6-4,17-3
Western Caro.,111,10-6,0-1,9-3,0-1,2-3,5-6,12-0
Hofstra,112,5-10,4-1,10-2,0-2,1-4,8-5,10-2
Stanford,113,3-8,1-4,10-6,1-7,4-4,5-6,4-1
Charlotte,114,5-7,1-3,12-2,0-4,2-2,6-6,10-0
Arkansas,115,2-7,2-4,12-6,2-9,1-6,7-1,6-1
Southern Ill.,116,5-6,1-2,12-5,1-3,0-5,6-4,11-1
Belmont,117,6-9,2-2,11-2,0-6,2-1,6-6,11-0
UNCW,118,10-6,1-2,7-2,1-0,1-3,5-5,11-2
Seattle U,119,4-9,1-1,13-4,0-4,1-2,4-6,13-2
UC San Diego,120,7-8,0-1,12-2,0-2,0-3,6-3,13-3
Davidson,121,4-8,2-2,7-7,0-5,3-5,4-6,6-1
Drexel,122,6-10,1-1,12-1,1-1,0-3,4-6,14-2
Oklahoma St.,123,1-9,1-3,10-8,2-12,1-6,3-1,6-1
Notre Dame,124,2-10,2-2,9-8,0-10,5-4,4-4,4-2
Colgate,125,10-5,2-1,12-3,0-2,1-3,2-1,21-3
Oakland,126,9-7,4-1,10-3,1-5,1-0,7-6,14-0
Georgia Tech,127,4-9,2-2,8-7,4-6,4-7,3-5,3-0
California,128,3-8,0-5,10-6,2-8,4-4,5-5,2-2
UT Arlington,129,5-10,3-1,10-3,0-6,1-2,4-5,13-1
Toledo,130,8-5,0-4,12-3,0-3,1-2,8-5,11-2
Youngstown St.,131,8-7,0-0,10-3,0-1,0-2,6-5,12-2
UNC Greensboro,132,7-7,3-1,9-3,0-2,2-2,7-5,10-2
Michigan,133,2-10,1-4,5-10,3-12,1-8,2-3,2-1
Arizona St.,134,3-8,1-5,10-5,2-9,6-4,3-4,3-1
South Dakota St.,135,6-5,5-4,8-3,0-1,0-2,7-4,12-5
Western Ky.,136,6-7,4-2,9-2,0-0,1-0,6-7,12-4
Troy,137,5-9,0-1,12-2,0-1,1-1,3-8,13-2
Tulane,138,2-8,1-3,10-6,0-4,1-7,5-5,7-1
Ohio,139,5-7,3-3,11-3,0-0,0-2,5-9,14-2
Chattanooga,140,8-7,1-1,10-4,0-2,2-2,6-6,11-2
Liberty,141,2-8,4-3,9-3,0-2,0-3,9-4,6-5
UMass Lowell,142,10-7,0-0,9-3,0-0,1-4,3-3,15-3
Eastern Wash.,143,10-9,0-1,9-1,0-4,0-3,4-2,15-2
Montana,144,8-7,2-1,10-3,0-3,0-0,3-4,17-4
Tarleton St.,145,10-5,2-1,8-3,0-4,3-0,6-2,11-3
Missouri St.,146,4-10,4-1,9-5,1-5,2-3,5-5,9-3
Furman,147,4-10,1-3,10-2,0-2,1-5,5-7,9-1
Arkansas St.,148,5-11,3-2,10-3,0-4,1-3,7-6,10-3
Towson,149,6-6,2-6,11-2,0-3,1-4,5-4,13-3
Louisiana,150,5-9,3-2,9-3,0-3,0-3,5-5,12-3
Wichita St.,151,2-10,3-4,9-5,0-4,4-4,3-9,7-2
Sam Houston,152,7-9,2-1,10-2,0-2,1-3,6-4,12-3
Wright St.,153,7-6,2-1,7-7,0-1,1-3,5-8,10-2
Weber St.,154,7-7,1-3,9-2,1-1,1-0,5-6,10-5
Wyoming,155,3-10,3-2,7-5,0-9,3-2,3-4,7-2
West Virginia,156,0-9,0-5,9-9,2-13,2-8,3-0,2-2
Purdue Fort Wayne,157,8-7,2-0,9-5,0-2,1-2,4-4,14-4
Missouri,158,2-10,0-3,6-11,1-10,1-9,1-4,5-1
St. Thomas,159,6-9,2-2,9-2,0-1,0-2,2-4,15-6
Quinnipiac,160,10-5,1-1,12-3,0-1,0-1,4-3,19-4
Fairfield,161,10-6,2-2,9-4,0-0,1-2,4-5,16-5
Longwood,162,6-10,2-0,10-3,0-1,1-2,4-4,13-6
UNC Asheville,163,5-7,5-3,9-2,0-1,1-4,6-5,12-2
Bryant,164,8-10,1-0,9-3,1-2,0-3,4-6,13-2
Oregon St.,165,1-9,0-4,11-6,1-9,3-7,3-3,5-0
Lipscomb,166,6-9,2-1,10-2,0-2,1-2,4-3,13-5
Delaware,167,8-6,3-3,7-5,1-0,0-4,2-8,15-2
UC Davis,168,8-6,2-1,8-6,0-1,1-1,7-6,10-5
Murray St.,169,4-9,0-3,7-8,0-5,2-4,4-9,5-2
Long Beach St.,170,9-7,4-2,6-5,0-1,3-2,7-5,9-6
Kent St.,171,4-9,4-2,7-6,0-2,1-3,3-8,11-4
Hawaii,172,4-6,3-2,11-6,0-1,0-4,3-7,15-2
Utah Valley,173,5-10,1-2,8-4,0-3,0-5,6-5,8-3
Stony Brook,174,4-11,3-1,12-3,0-3,0-5,3-5,16-2
SFA,175,5-8,3-2,8-5,1-2,0-3,5-6,10-4
Fordham,176,4-6,3-3,6-11,0-2,2-7,6-6,5-5
Brown,177,6-8,2-3,4-7,0-2,3-4,4-8,5-4
Illinois St.,178,4-8,1-3,9-6,1-3,0-4,7-5,6-5
A&M-Corpus Christi,179,8-7,0-2,9-2,0-4,0-1,2-2,15-4
ETSU,180,5-11,4-1,8-4,0-4,0-4,7-7,10-1
Winthrop,181,6-9,0-1,8-5,0-3,0-3,2-6,12-3
Little Rock,182,6-6,1-2,14-4,0-0,0-0,2-4,19-8
Northern Ky.,183,6-11,0-1,10-3,0-3,0-2,5-8,11-2
UTEP,184,2-9,3-2,10-5,0-1,0-2,7-9,8-4
Wofford,185,6-9,0-4,8-2,0-3,1-3,5-8,8-1
UIC,186,3-10,3-2,5-9,0-4,1-6,5-6,5-5
Northern Colo.,187,7-8,1-2,9-3,0-1,0-1,3-5,14-6
St. Peter's,188,8-8,3-0,7-5,0-1,0-2,3-6,15-4
East Carolina,189,3-7,1-2,10-9,0-3,0-8,6-3,8-4
Gardner-Webb,190,6-8,2-4,6-4,0-2,0-5,6-4,8-5
Temple,191,5-7,6-4,4-9,1-4,2-4,3-7,9-5
George Washington,192,1-9,2-2,11-6,1-3,0-5,6-6,7-3
Monmouth,193,2-13,3-1,13-1,0-2,0-7,5-4,13-2
Marist,194,8-8,1-1,9-4,0-0,0-1,2-6,16-6
La Salle,195,3-10,2-1,10-6,0-3,0-8,6-4,9-2
Cleveland St.,196,6-10,0-1,13-3,1-1,1-3,5-7,12-3
St. Louis,197,3-9,2-3,7-8,0-5,1-9,6-5,5-1
Tulsa,198,2-9,0-2,13-4,0-2,0-3,6-8,9-2
LMU,199,3-7,1-4,7-8,0-6,1-3,1-5,9-5
Harvard,200,5-8,0-0,8-5,0-1,2-6,2-3,9-3
Cal Baptist,201,4-9,1-1,9-7,0-2,0-3,6-6,8-6
Vanderbilt,202,1-9,0-4,8-10,1-12,2-4,2-6,4-1
Evansville,203,4-11,2-1,9-5,0-7,1-3,3-6,11-1
UT Martin,204,9-7,0-2,8-2,0-3,0-1,2-3,15-4
Georgetown,205,2-10,0-1,7-12,0-12,1-9,0-1,8-1
Texas St.,206,5-11,3-3,7-4,0-4,2-2,5-7,8-5
UC Santa Barbara,207,6-7,1-1,7-7,0-1,0-2,5-6,9-6
Montana St.,208,4-10,3-0,8-6,0-1,1-2,4-6,10-7
Stetson,209,6-10,2-0,11-2,1-2,0-2,1-0,17-8
Iona,210,5-8,2-4,9-5,0-1,0-2,4-8,12-6
Rhode Island,211,3-8,0-4,8-8,0-4,1-6,5-6,5-4
Penn,212,2-10,0-2,7-6,0-4,1-4,1-7,7-3
Merrimack,213,7-9,1-1,11-2,0-4,0-1,2-1,17-6
Milwaukee,214,6-9,2-2,10-4,0-2,0-2,8-7,10-4
Mercer,215,4-9,2-2,8-5,0-2,2-4,3-5,9-5
Louisville,216,1-10,0-3,7-11,0-10,1-8,2-5,5-1
Jacksonville St.,217,5-10,1-1,5-7,0-1,0-1,5-6,6-10
Lamar,218,5-11,3-0,9-3,0-3,0-2,1-3,16-6
Eastern Ky.,219,4-10,0-0,10-4,0-2,0-1,1-6,13-5
Rider,220,6-12,0-1,8-4,0-2,0-3,3-7,11-5
Austin Peay,221,4-12,1-1,11-2,0-2,1-1,1-8,14-4
Georgia St.,222,5-11,0-1,7-5,0-3,0-4,3-3,9-7
Norfolk St.,223,6-8,3-3,9-0,1-1,0-1,2-4,15-5
CSUN,224,9-7,1-1,7-7,0-0,1-3,3-7,13-5
Columbia,225,4-8,0-0,6-6,0-2,0-3,2-6,8-3
Pepperdine,226,3-8,1-4,7-8,0-8,0-3,2-4,9-5
Green Bay,227,8-8,0-1,8-5,0-2,1-1,7-5,8-6
Bowling Green,228,5-7,3-2,10-4,0-0,0-3,5-4,13-6
Abilene Christian,229,5-9,2-2,7-6,0-2,2-3,4-7,8-5
New Hampshire,230,7-10,0-0,8-5,0-2,0-3,4-4,11-6
UC Riverside,231,4-12,2-1,8-5,0-3,0-3,4-6,10-6
Kansas City,232,6-9,0-4,7-3,0-3,0-1,2-6,11-6
Fresno St.,233,3-9,2-3,6-9,0-10,0-5,1-4,10-2
Maine,234,5-13,2-0,7-4,0-1,1-3,1-6,12-7
Cal St. Fullerton,235,6-10,1-1,5-7,0-4,0-3,4-5,8-6
Radford,236,4-12,4-0,6-5,0-4,0-2,4-3,10-8
Nicholls,237,8-10,2-2,7-2,0-4,1-3,1-4,15-3
Miami,238,6-10,0-1,7-6,0-1,0-3,4-7,9-6
Southern Miss.,239,5-9,0-4,9-3,0-1,2-2,5-6,7-7
North Dakota,240,7-8,2-1,6-5,0-2,0-1,2-4,13-7
Rice,241,5-7,0-4,5-10,1-4,1-5,1-8,7-4
Mount St. Mary's,242,5-13,0-1,8-5,0-0,0-3,2-6,11-10
San Jose St.,243,1-12,2-2,5-9,0-10,0-3,2-6,6-4
Northeastern,244,4-13,1-2,7-5,0-3,0-2,3-11,9-4
Marshall,245,3-9,2-4,7-7,0-4,0-4,4-5,8-7
FGCU,246,4-10,1-3,6-5,0-2,1-2,0-5,10-9
Portland St.,247,5-11,1-2,8-2,0-1,0-0,5-9,9-5
South Alabama,248,5-9,0-1,9-5,0-2,0-2,3-7,11-4
Central Conn. St.,249,9-7,0-0,9-4,0-0,0-2,2-4,16-5
UAlbany,250,5-13,0-1,7-5,0-1,0-5,2-8,10-5
Idaho St.,251,4-13,2-2,6-5,0-1,0-0,3-11,9-8
North Florida,252,5-11,0-0,8-5,0-1,0-4,0-5,13-6
North Ala.,253,5-13,0-0,8-4,0-3,0-2,1-6,12-6
San Diego,254,4-7,2-2,10-6,0-6,1-3,3-4,12-2
North Dakota St.,255,5-11,0-2,7-4,0-2,1-1,3-8,8-6
Niagara,256,10-6,1-1,4-9,0-0,0-2,5-5,10-9
Southern U.,257,7-11,0-1,8-2,1-4,1-0,0-1,13-9
Ball St.,258,6-8,0-1,7-7,0-1,0-2,0-8,13-5
CSU Bakersfield,259,2-13,1-2,8-4,0-1,0-4,2-9,9-5
Western Ill.,260,10-6,1-1,6-5,0-3,0-1,2-2,15-6
Kennesaw St.,261,4-11,2-0,6-5,0-0,0-2,0-5,12-9
UTSA,262,4-11,0-1,6-9,1-1,1-4,1-11,7-5
The Citadel,263,2-13,2-1,4-7,0-2,1-4,1-9,6-6
Denver,264,4-11,3-2,6-4,0-2,0-2,2-5,11-8
Central Mich.,265,7-9,1-2,9-3,0-3,1-3,2-3,14-5
Canisius,266,3-12,3-2,7-4,0-1,1-2,3-8,9-7
Lehigh,267,8-11,0-0,4-7,0-2,0-4,1-3,11-9
Queens,268,2-16,1-0,9-3,0-3,0-3,3-5,9-8
Air Force,269,5-8,0-2,4-12,1-8,1-2,0-7,7-5
Omaha,270,2-13,2-2,7-3,0-2,0-2,1-5,10-9
Southern Utah,271,3-13,1-0,4-8,0-3,0-4,2-7,6-7
N.C. Central,272,6-9,1-2,7-2,0-2,0-1,0-3,14-7
Howard,273,6-9,3-3,7-4,0-1,0-3,1-5,15-7
Binghamton,274,5-11,0-0,8-4,0-2,0-3,1-6,12-4
Jacksonville,275,4-14,1-0,8-3,0-4,0-0,1-4,12-9
Oral Roberts,276,2-13,1-1,6-5,0-3,0-3,2-7,7-6
Bucknell,277,8-11,0-0,6-8,0-1,1-4,0-5,13-9
Texas Southern,278,6-10,3-2,6-4,0-5,0-2,0-0,15-9
Grambling,279,7-9,4-2,6-3,0-6,0-0,0-2,17-6
SIUE,280,2-13,3-1,9-2,0-2,0-1,1-4,13-9
Presbyterian,281,5-9,1-2,5-7,0-1,0-1,2-7,9-9
Tennessee St.,282,5-10,2-2,7-3,0-2,0-1,0-5,14-7
Ga. Southern,283,2-14,1-4,6-6,0-4,0-4,0-5,9-11
UMBC,284,5-12,0-0,5-9,0-1,0-2,1-9,9-9
Utah Tech,285,4-13,0-0,6-7,0-3,0-5,2-8,8-4
Sacred Heart,286,4-11,1-0,9-5,0-2,0-1,0-2,14-11
American,287,8-9,0-0,7-7,0-2,1-1,0-3,14-10
Middle Tenn.,288,1-10,2-3,9-6,0-1,1-1,3-14,8-3
New Mexico St.,289,1-13,0-3,8-3,0-3,0-2,3-11,6-3
Wagner,290,9-10,0-0,5-5,0-2,0-0,3-3,11-10
Boston U.,291,7-10,0-0,8-7,0-0,0-3,0-2,15-12
Western Mich.,292,3-12,2-1,6-7,0-2,0-3,3-8,8-7
Old Dominion,293,1-12,1-3,4-10,0-3,0-6,2-5,4-11
FIU,294,1-12,1-4,8-6,0-2,0-2,3-10,7-8
Portland,295,2-11,1-4,7-6,0-7,0-4,4-4,6-6
Chicago St.,296,5-12,1-1,3-5,1-2,0-4,1-6,7-6
South Carolina St.,297,5-13,0-1,7-4,0-3,0-2,0-6,12-7
NIU,298,5-11,1-0,3-9,0-4,2-1,3-7,4-8
Alcorn,299,7-14,0-1,6-3,0-5,0-5,0-2,13-6
Jackson St.,300,7-13,2-2,6-2,0-4,0-0,2-4,13-9
Le Moyne,301,5-14,0-0,7-3,0-1,0-1,1-5,11-10
Valparaiso,302,1-13,0-1,5-11,0-5,0-6,1-9,5-5
USC Upstate,303,4-12,0-1,3-7,0-1,1-2,2-7,4-10
Campbell,304,3-11,0-1,8-6,0-1,0-4,2-5,9-8
Delaware St.,305,4-11,4-2,5-5,0-2,0-1,0-3,13-12
Southeastern La.,306,6-10,0-3,6-4,0-3,1-3,1-3,10-8
Robert Morris,307,3-13,0-0,5-9,0-2,0-2,1-12,7-6
Bethune-Cookman,308,5-11,1-3,9-2,0-2,0-1,0-2,15-11
ULM,309,3-12,0-1,6-6,0-4,0-0,3-8,6-7
Elon,310,3-12,2-1,6-6,0-2,1-3,0-6,10-8
Eastern Ill.,311,4-11,1-1,5-6,0-3,0-2,2-3,8-10
Northern Ariz.,312,6-12,1-2,7-5,0-3,1-0,2-10,11-6
Lafayette,313,6-9,0-2,4-10,0-1,1-2,0-9,9-9
Alabama St.,314,3-13,3-1,4-5,0-4,0-3,0-1,10-11
Charleston So.,315,3-12,0-1,4-7,0-4,0-2,2-5,5-9
Navy,316,3-13,0-0,9-5,0-0,0-3,0-3,12-12
Sacramento St.,317,2-13,2-3,4-8,0-1,0-1,4-10,4-12
Bellarmine,318,2-16,0-0,3-7,0-4,0-1,1-7,4-11
Coastal Carolina,319,1-9,1-1,5-12,0-2,0-3,1-8,6-9
DePaul,320,0-11,0-3,3-15,0-15,0-9,0-2,3-3
Idaho,321,4-10,1-1,4-10,0-1,0-2,2-9,7-9
South Dakota,322,2-12,1-2,6-6,0-0,0-2,1-7,8-11
Eastern Mich.,323,4-11,0-1,7-6,0-2,1-1,0-6,10-9
FDU,324,8-9,0-1,5-7,0-2,0-0,0-2,13-13
William & Mary,325,2-13,1-3,5-7,0-1,0-2,0-11,8-9
Alabama A&M,326,3-14,1-3,7-5,0-2,0-2,0-6,11-12
Prairie View,327,4-15,1-0,3-6,0-3,0-2,2-1,6-15
Ark.-Pine Bluff,328,5-12,0-0,4-6,0-3,0-2,0-1,9-12
Southern Ind.,329,3-13,0-1,2-10,0-3,1-1,0-6,4-14
NJIT,330,2-13,0-0,4-8,0-1,0-3,3-4,3-13
UTRGV,331,1-14,0-2,3-9,0-3,0-3,2-9,2-10
Northwestern St.,332,3-13,0-3,4-7,0-3,0-2,0-5,7-13
Tex. A&M-Commerce,333,4-12,1-1,5-7,0-6,1-1,0-4,9-9
Dartmouth,334,0-14,0-0,4-7,0-2,0-4,0-9,4-6
Manhattan,335,4-12,0-1,2-10,0-2,0-0,1-9,5-12
Tennessee Tech,336,3-13,0-0,4-8,0-1,0-1,0-8,7-11
Hampton,337,1-12,3-3,2-9,0-0,0-3,1-10,5-11
Army West Point,338,4-11,0-0,4-11,0-0,0-2,0-3,8-17
Morgan St.,339,3-12,0-3,5-5,0-3,0-2,0-3,8-12
New Orleans,340,2-15,1-2,3-6,0-3,0-4,0-4,6-12
Florida A&M,341,2-14,0-1,3-7,0-6,0-2,0-0,5-14
Cal Poly,342,0-16,1-1,2-11,0-0,0-2,1-14,2-12
N.C. A&T,343,2-14,1-4,4-7,0-3,0-6,0-6,7-10
Central Ark.,344,4-13,0-0,3-10,0-2,0-0,1-7,6-14
Buffalo,345,2-11,0-3,1-13,0-3,0-2,0-10,3-12
Loyola Maryland,346,5-13,0-1,1-11,0-1,0-3,1-4,5-17
UIW,347,3-14,0-1,3-8,0-2,0-1,1-4,5-16
LIU,348,1-17,1-0,5-5,0-0,0-3,1-6,6-13
UMES,349,0-15,0-1,5-4,0-2,0-1,0-6,5-11
Holy Cross,350,4-14,1-1,4-8,0-1,0-3,1-4,8-15
Southeast Mo. St.,351,1-14,0-1,4-7,0-2,0-1,0-7,5-12
St. Francis,352,2-14,0-0,4-8,0-1,0-3,0-2,6-16
Siena,353,2-13,0-3,2-12,0-1,0-2,0-9,4-16
Lindenwood,354,3-12,2-0,1-10,0-2,0-1,0-3,6-16
Stonehill,355,0-19,0-0,3-8,0-2,0-3,0-7,3-15
Detroit Mercy,356,0-20,0-0,1-11,0-3,0-4,0-13,1-11
Houston Christian,357,1-15,0-0,3-8,0-6,0-2,0-3,4-12
VMI,358,0-15,0-3,1-10,0-3,0-3,0-12,1-10
Pacific,359,1-13,0-1,3-12,0-6,1-2,0-6,3-12
IUPUI,360,2-14,0-2,1-10,0-1,0-3,1-11,2-11
Coppin St.,361,0-17,0-2,2-8,0-2,0-1,0-7,2-17
Mississippi Val.,362,0-22,0-0,1-8,0-6,0-3,0-3,1-18
