Team,KP Rank,KP Conference,Win Loss,KP Net Rtg
Stephen F. Austin,155,Slnd,0-0,+0.43
Louisiana,156,SB,0-0,+0.37
Northern Kentucky,157,Horz,0-0,+0.19
New Mexico St.,158,CUSA,0-0,-0.01
Marshall,159,SB,0-0,-0.03
Indiana St.,160,MVC,0-0,-0.08
James Madison,161,SB,0-0,-0.35
Abilene Christian,162,WAC,0-0,-0.36
Winthrop,163,BSth,0-0,-0.45
Fordham,164,A10,0-0,-0.49
Furman,165,SC,0-0,-0.49
DePaul,166,BE,0-0,-0.53
La Salle,167,A10,0-0,-0.60
Cornell,168,Ivy,0-0,-0.62
UC Riverside,169,BW,0-0,-0.65
Belmont,170,MVC,0-0,-0.66
UTEP,171,CUSA,0-0,-0.67
Milwaukee,172,Horz,0-0,-0.70
Oakland,173,Horz,0-0,-0.89
Weber St.,174,BSky,0-0,-1.02
UC Davis,175,BW,0-0,-1.11
Montana,176,BSky,0-0,-1.13
Toledo,177,MAC,0-0,-1.14
Texas St.,178,SB,0-0,-1.22
Hofstra,179,CAA,0-0,-1.41
South Dakota St.,180,Sum,0-0,-1.42
UNC Greensboro,181,SC,0-0,-1.54
Cleveland St.,182,Horz,0-0,-1.74
Youngstown St.,183,Horz,0-0,-1.99
Georgia Southern,184,SB,0-0,-2.01
Middle Tennessee,185,CUSA,0-0,-2.01
Nicholls,186,Slnd,0-0,-2.16
Georgia St.,187,SB,0-0,-2.45
Tulane,188,Amer,0-0,-2.63
Montana St.,189,BSky,0-0,-2.69
Longwood,190,BSth,0-0,-2.69
Jacksonville,191,ASun,0-0,-2.71
Penn,192,Ivy,0-0,-2.72
Quinnipiac,193,MAAC,0-0,-2.77
UNC Asheville,194,BSth,0-0,-2.77
Illinois St.,195,MVC,0-0,-2.78
Southern Utah,196,WAC,0-0,-2.81
Northern Colorado,197,BSky,0-0,-2.92
Hawaii,198,BW,0-0,-3.03
Wright St.,199,Horz,0-0,-3.06
San Jose St.,200,MWC,0-0,-3.28
Kansas City,201,Sum,0-0,-3.29
Monmouth,202,CAA,0-0,-3.32
St. Thomas,203,Sum,0-0,-3.43
Evansville,204,MVC,0-0,-3.47
Iona,205,MAAC,0-0,-3.61
Florida Gulf Coast,206,ASun,0-0,-3.84
Tarleton St.,207,WAC,0-0,-3.93
Air Force,208,MWC,0-0,-3.94
Columbia,209,Ivy,0-0,-3.95
Northeastern,210,CAA,0-0,-4.01
Miami OH,211,MAC,0-0,-4.05
Mercer,212,SC,0-0,-4.09
North Alabama,213,ASun,0-0,-4.38
Howard,214,MEAC,0-0,-4.45
Wyoming,215,MWC,0-0,-4.49
North Dakota St.,216,Sum,0-0,-4.49
Colgate,217,PL,0-0,-4.50
Valparaiso,218,MVC,0-0,-4.57
Missouri St.,219,MVC,0-0,-4.57
Illinois Chicago,220,MVC,0-0,-4.62
Jacksonville St.,221,CUSA,0-0,-4.65
Drexel,222,CAA,0-0,-4.68
Kennesaw St.,223,CUSA,0-0,-4.79
William & Mary,224,CAA,0-0,-4.92
UTSA,225,Amer,0-0,-4.96
St. Peter's,226,MAAC,0-0,-5.06
Merrimack,227,MAAC,0-0,-5.17
Portland St.,228,BSky,0-0,-5.17
Norfolk St.,229,MEAC,0-0,-5.25
American,230,PL,0-0,-5.28
Boston,231,PL,0-0,-5.35
Pepperdine,232,WCC,0-0,-5.43
Texas A&M Corpus Chris,233,Slnd,0-0,-5.47
Rice,234,Amer,0-0,-5.48
South Alabama,235,SB,0-0,-5.54
